,id,type,sectionId,sectionName,webPublicationDate,webTitle,webUrl,apiUrl,isHosted,pillarId,pillarName
790,world/2020/feb/29/coronavirus-british-pensions-set-to-take-a-hit-from-market-tumble,article,world,World news,2020-02-29T20:18:24Z,Coronavirus: British pensions set to take a hit from market tumble,https://www.theguardian.com/world/2020/feb/29/coronavirus-british-pensions-set-to-take-a-hit-from-market-tumble,https://content.guardianapis.com/world/2020/feb/29/coronavirus-british-pensions-set-to-take-a-hit-from-market-tumble,False,pillar/news,News
791,world/live/2020/feb/29/coronavirus-live-updates-latest-news-china-wuhan-stock-markets-update,liveblog,world,World news,2020-02-29T20:04:33Z,Trump says US virus response 'most aggressive in modern history' – as it happened,https://www.theguardian.com/world/live/2020/feb/29/coronavirus-live-updates-latest-news-china-wuhan-stock-markets-update,https://content.guardianapis.com/world/live/2020/feb/29/coronavirus-live-updates-latest-news-china-wuhan-stock-markets-update,False,pillar/news,News
792,uk-news/2020/feb/29/westminsters-worst-kept-secret-but-will-it-lead-to-a-baby-bounce,article,uk-news,UK news,2020-02-29T19:26:06Z,Westminster's worst-kept secret: but will it lead to a baby bounce?,https://www.theguardian.com/uk-news/2020/feb/29/westminsters-worst-kept-secret-but-will-it-lead-to-a-baby-bounce,https://content.guardianapis.com/uk-news/2020/feb/29/westminsters-worst-kept-secret-but-will-it-lead-to-a-baby-bounce,False,pillar/news,News
793,business/grogonomics/2020/mar/01/the-truth-about-budget-surpluses-its-revenue-not-spending-that-counts,article,business,Business,2020-02-29T19:00:03Z,"The truth about budget surpluses: it's revenue, not spending, that counts | Greg Jericho",https://www.theguardian.com/business/grogonomics/2020/mar/01/the-truth-about-budget-surpluses-its-revenue-not-spending-that-counts,https://content.guardianapis.com/business/grogonomics/2020/mar/01/the-truth-about-budget-surpluses-its-revenue-not-spending-that-counts,False,pillar/news,News
794,world/2020/feb/29/its-the-last-nail-in-the-coffin-venice-empties-as-coronavirus-spreads,article,world,World news,2020-02-29T18:45:01Z,‘It’s the last nail in the coffin’: Venice empties as coronavirus spreads,https://www.theguardian.com/world/2020/feb/29/its-the-last-nail-in-the-coffin-venice-empties-as-coronavirus-spreads,https://content.guardianapis.com/world/2020/feb/29/its-the-last-nail-in-the-coffin-venice-empties-as-coronavirus-spreads,False,pillar/news,News
795,football/live/2020/feb/29/bournemouth-v-chelsea-west-ham-v-southampton-and-more-live,liveblog,football,Football,2020-02-29T17:28:43Z,"Bournemouth 2-2 Chelsea, West Ham 3-1 Southampton and more – as it happened",https://www.theguardian.com/football/live/2020/feb/29/bournemouth-v-chelsea-west-ham-v-southampton-and-more-live,https://content.guardianapis.com/football/live/2020/feb/29/bournemouth-v-chelsea-west-ham-v-southampton-and-more-live,False,pillar/sport,Sport
796,football/2020/feb/29/newcastle-united-burnley-premier-league-match-report,article,football,Football,2020-02-29T17:21:27Z,Dwight Gayle fails audition as Newcastle draw blank again against Burnley,https://www.theguardian.com/football/2020/feb/29/newcastle-united-burnley-premier-league-match-report,https://content.guardianapis.com/football/2020/feb/29/newcastle-united-burnley-premier-league-match-report,False,pillar/sport,Sport
797,news/2020/feb/29/nazanin-zaghari-ratcliffe-family-believe-she-has-coronavirus,article,news,News,2020-02-29T15:54:07Z,Nazanin Zaghari-Ratcliffe suspected of having coronavirus,https://www.theguardian.com/news/2020/feb/29/nazanin-zaghari-ratcliffe-family-believe-she-has-coronavirus,https://content.guardianapis.com/news/2020/feb/29/nazanin-zaghari-ratcliffe-family-believe-she-has-coronavirus,False,pillar/news,News
798,world/2020/feb/29/markets-fall-coronavirus-china-economy,article,business,Business,2020-02-29T15:38:52Z,Markets expected to fall further as coronavirus hits China's economy,https://www.theguardian.com/world/2020/feb/29/markets-fall-coronavirus-china-economy,https://content.guardianapis.com/world/2020/feb/29/markets-fall-coronavirus-china-economy,False,pillar/news,News
799,technology/2020/feb/29/paul-singer-elliott-management-twitter-jack-dorsey,article,technology,Technology,2020-02-29T15:13:43Z,Republican mega-donor buys stake in Twitter and seeks to oust Jack Dorsey – report,https://www.theguardian.com/technology/2020/feb/29/paul-singer-elliott-management-twitter-jack-dorsey,https://content.guardianapis.com/technology/2020/feb/29/paul-singer-elliott-management-twitter-jack-dorsey,False,pillar/news,News
800,world/2020/feb/29/officials-try-to-trace-contacts-of-first-patient-to-catch-coronavirus-in-uk,article,world,World news,2020-02-29T14:23:38Z,Three more people test positive for coronavirus in England,https://www.theguardian.com/world/2020/feb/29/officials-try-to-trace-contacts-of-first-patient-to-catch-coronavirus-in-uk,https://content.guardianapis.com/world/2020/feb/29/officials-try-to-trace-contacts-of-first-patient-to-catch-coronavirus-in-uk,False,pillar/news,News
801,us-news/2020/feb/28/alexandria-ocasio-cortez-ted-cruz-coronavirus,article,us-news,US news,2020-02-29T14:14:00Z,Ted Cruz tried to mock AOC's scientific knowledge – it didn't end well,https://www.theguardian.com/us-news/2020/feb/28/alexandria-ocasio-cortez-ted-cruz-coronavirus,https://content.guardianapis.com/us-news/2020/feb/28/alexandria-ocasio-cortez-ted-cruz-coronavirus,False,pillar/news,News
802,world/2020/feb/27/they-have-no-idea-government-failing-on-coronavirus-say-gps,article,world,World news,2020-02-29T12:31:19Z,"'They have no idea': government failing on coronavirus, say GPs",https://www.theguardian.com/world/2020/feb/27/they-have-no-idea-government-failing-on-coronavirus-say-gps,https://content.guardianapis.com/world/2020/feb/27/they-have-no-idea-government-failing-on-coronavirus-say-gps,False,pillar/news,News
803,football/2020/feb/29/juventus-inter-milan-serie-a-postponed-coronavirus,article,football,Football,2020-02-29T11:55:03Z,Juventus v Inter among five Serie A matches postponed due to coronavirus,https://www.theguardian.com/football/2020/feb/29/juventus-inter-milan-serie-a-postponed-coronavirus,https://content.guardianapis.com/football/2020/feb/29/juventus-inter-milan-serie-a-postponed-coronavirus,False,pillar/sport,Sport
804,world/2020/feb/29/coronavirus-chinese-vendors-supply-chains-toy-manufacturers,article,world,World news,2020-02-29T10:00:42Z,Coronavirus causes ‘upheaval and uncertainty’ for toy manufacturers,https://www.theguardian.com/world/2020/feb/29/coronavirus-chinese-vendors-supply-chains-toy-manufacturers,https://content.guardianapis.com/world/2020/feb/29/coronavirus-chinese-vendors-supply-chains-toy-manufacturers,False,pillar/news,News
805,world/2020/feb/29/coronavirus-south-korea-cases-surge-as-australia-bans-iran-arrivals,article,world,World news,2020-02-29T08:54:54Z,Coronavirus: South Korea reports more than 800 new cases,https://www.theguardian.com/world/2020/feb/29/coronavirus-south-korea-cases-surge-as-australia-bans-iran-arrivals,https://content.guardianapis.com/world/2020/feb/29/coronavirus-south-korea-cases-surge-as-australia-bans-iran-arrivals,False,pillar/news,News
806,world/2020/feb/29/to-hell-and-back-my-three-weeks-suffering-from-coronavirus,article,world,World news,2020-02-29T05:00:36Z,‘To hell and back’: my three weeks suffering from coronavirus,https://www.theguardian.com/world/2020/feb/29/to-hell-and-back-my-three-weeks-suffering-from-coronavirus,https://content.guardianapis.com/world/2020/feb/29/to-hell-and-back-my-three-weeks-suffering-from-coronavirus,False,pillar/news,News
807,australia-news/2020/feb/29/coronavirus-queensland-beauticians-clients-may-have-been-exposed-to-covid-19,article,australia-news,Australia news,2020-02-29T04:58:43Z,'Very high risk': Australia adds Iran to coronavirus travel ban,https://www.theguardian.com/australia-news/2020/feb/29/coronavirus-queensland-beauticians-clients-may-have-been-exposed-to-covid-19,https://content.guardianapis.com/australia-news/2020/feb/29/coronavirus-queensland-beauticians-clients-may-have-been-exposed-to-covid-19,False,pillar/news,News
